Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a ,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,11/08/2017,Arsenal,Leicester,4,3,"2,45,83,85","5,29,56",95,,,1.61,1.49,4.73,7.25
E0,12/08/2017,Brighton,Man City,0,2,,"70,75",93,,,1.63,11.75,6.15,1.29
E0,12/08/2017,Chelsea,Burnley,2,3,"69,88","24,39,43",94,"14,81",,1.66,1.33,5.4,12.25
E0,12/08/2017,Crystal Palace,Huddersfield,0,3,,"23,26,78",93,,,2.11,1.79,3.56,5.51
E0,12/08/2017,Everton,Stoke,1,0,46,,94,,,2.08,1.82,3.49,5.42
E0,12/08/2017,Southampton,Swansea,0,0,,,93,,,2.08,1.56,4.25,6.85
E0,12/08/2017,Watford,Liverpool,3,3,"8,32,93","29,55,57",98,,,1.82,6.88,4.27,1.56
E0,12/08/2017,West Brom,Bournemouth,1,0,31,,95,,,2.16,2.65,3.21,3.02
E0,13/08/2017,Man United,West Ham,4,0,"33,53,87,90",,93,,,1.7,1.31,5.79,12.01
E0,13/08/2017,Newcastle,Tottenham,0,2,,"61,7",93,48,,1.81,4.82,3.9,1.8
E0,19/08/2017,Bournemouth,Watford,0,2,,"73,86",96,,,1.82,2.1,3.52,3.84
E0,19/08/2017,Burnley,West Brom,0,1,,71,94,,83,2.46,2.75,3.01,3.09
E0,19/08/2017,Leicester,Brighton,2,0,"1,54",,95,,,1.96,1.76,3.73,5.45
E0,19/08/2017,Liverpool,Crystal Palace,1,0,73,,94,,,1.57,1.39,5.31,9
E0,19/08/2017,Southampton,West Ham,3,2,"11,38,92","45,74",94,,,1.84,1.7,4.02,5.45
E0,19/08/2017,Stoke,Arsenal,1,0,47,,95,,,1.8,4.37,3.92,1.86
E0,19/08/2017,Swansea,Man United,0,4,,"45,80,82,84",93,,,1.9,11.55,5.25,1.34
E0,20/08/2017,Huddersfield,Newcastle,1,0,50,,94,,,2.22,2.83,3.21,2.81
E0,20/08/2017,Tottenham,Chelsea,1,2,82,"24,88",94,,,1.9,2.16,3.36,3.84
E0,21/08/2017,Man City,Everton,1,1,82,35,94,44,88,1.61,1.3,6.15,11.1
E0,26/08/2017,Bournemouth,Man City,1,2,13,"21,96",100,,98,1.49,12,6.75,1.27
E0,26/08/2017,Crystal Palace,Swansea,0,2,,"44,48",93,,,2.15,2.12,3.3,4.09
E0,26/08/2017,Huddersfield,Southampton,0,0,,,93,,,2.19,4.21,3.48,2.02
E0,26/08/2017,Man United,Leicester,2,0,"70,82",,94,,,1.65,1.33,5.6,11.25
E0,26/08/2017,Newcastle,West Ham,3,0,"36,72,86",,94,,,1.94,2.36,3.45,3.26
E0,26/08/2017,Watford,Brighton,0,0,,,93,24,,2.21,2.23,3.23,3.81
E0,27/08/2017,Chelsea,Everton,2,0,"27,4",,93,,,1.92,1.53,4.35,7.4
E0,27/08/2017,Liverpool,Arsenal,4,0,"17,40,57,77",,93,,,1.58,2.21,3.67,3.25
E0,27/08/2017,Tottenham,Burnley,1,1,49,91,95,,,1.66,1.22,7.25,16
E0,27/08/2017,West Brom,Stoke,1,1,61,77,94,,,2.59,2.66,3.15,3.06
E0,09/09/2017,Arsenal,Bournemouth,3,0,"6,27,50",,93,,,1.4,1.31,6.4,10
E0,09/09/2017,Brighton,West Brom,3,1,"45,48,63",77,95,,,2.6,2.71,3.05,3.09
E0,09/09/2017,Everton,Tottenham,0,3,,"28,42,46",94,,,2.04,3.98,3.55,2.05
E0,09/09/2017,Leicester,Chelsea,1,2,62,"41,5",94,,,1.86,5,3.83,1.79
E0,09/09/2017,Man City,Liverpool,5,0,"25,45,53,77,91",,92,,37,1.53,1.89,3.98,4.14
