Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,10/08/2018,Benfica,Guimaraes,3,2,"10,30,38","76,81",93,,,1.53,1.28,5.69,14.77
P1,11/08/2018,Porto,Chaves,5,0,"14,20,45,71,88",,93,,80,1.51,1.18,8.08,19.26
P1,11/08/2018,Setubal,Aves,2,0,"3,61",,93,,"45,66",2.37,2.41,3.14,3.42
P1,11/08/2018,Tondela,Belenenses,0,1, ,54,97,91,,2.31,2.23,3.38,3.54
P1,12/08/2018,Feirense,Rio Ave,2,0,"20,33",,96,,,2.31,2.59,3.14,3.11
P1,12/08/2018,Maritimo,Santa Clara,1,0,96,,98,,,2.28,1.87,3.4,5.11
P1,12/08/2018,Moreirense,Sp Lisbon,1,3,6,"16,74,91",93,,,1.89,6.82,3.76,1.63
P1,12/08/2018,Sp Braga,Nacional,4,2,"4,32,48,72","23,37",93,,,1.65,1.26,6.57,12.09
P1,13/08/2018,Portimonense,Boavista,0,2,,"47,92",96,,,2.34,2.26,3.21,3.69
P1,17/08/2018,Aves,Tondela,2,2,"13,6","3,74",93,,,2.21,2.27,3.27,3.59
P1,18/08/2018,Boavista,Benfica,0,2,,"35,62",94,,,1.99,7.47,3.9,1.57
P1,18/08/2018,Chaves,Portimonense,2,0,"27,31",,95,,,2.13,2.46,3.31,3.16
P1,18/08/2018,Sp Lisbon,Setubal,2,1,"9,66",19,95,,,1.62,1.34,5.3,10.86
P1,19/08/2018,Belenenses,Porto,2,3,"55,83","26,46,95",100,,,1.84,15.08,5.88,1.27
P1,19/08/2018,Nacional,Moreirense,1,2,50,"8,61",95,,,2.16,2.39,3.47,3.13
P1,19/08/2018,Rio Ave,Maritimo,3,1,"12,40,87",73,94,,,2.29,2.46,3.19,3.28
P1,19/08/2018,Santa Clara,Sp Braga,3,3,"46,60,65","24,29,40",93,,,1.94,5.27,3.7,1.76
P1,20/08/2018,Guimaraes,Feirense,0,1,,88,97,,,2.15,1.67,3.84,5.97
P1,24/08/2018,Maritimo,Chaves,2,1,"91,94",17,97,,,2.34,1.87,3.56,4.77
P1,25/08/2018,Benfica,Sp Lisbon,1,1,86,64,100,,,2.13,1.8,3.61,5.19
P1,25/08/2018,Portimonense,Santa Clara,2,2,"49,64","5,66",95,,,2.08,1.88,3.5,4.78
P1,25/08/2018,Porto,Guimaraes,2,3,"37,43","63,76,87",95,,,1.49,1.18,7.6,22.56
P1,26/08/2018,Feirense,Boavista,1,1,60,44,98,,54,2.44,2.45,3,3.51
P1,26/08/2018,Setubal,Nacional,1,2,88,"45,85",94,94,,2.11,1.74,3.8,5.29
P1,26/08/2018,Sp Braga,Aves,3,1,"60,64,78",52,94,,,1.63,1.39,5.01,9.62
P1,26/08/2018,Tondela,Rio Ave,1,1,58,17,93,91,,2.21,2.38,3.19,3.46
P1,27/08/2018,Moreirense,Belenenses,1,1,94,76,95,,,2.3,2.37,3.05,3.61
P1,31/08/2018,Chaves,Sp Braga,0,1,,43,97,,,1.75,5.17,3.81,1.75
P1,31/08/2018,Guimaraes,Tondela,1,0,18,,95,,88,2.07,1.94,3.3,4.83
P1,01/09/2018,Belenenses,Setubal,0,0,,,94,,,2.15,2.33,3.33,3.38
P1,01/09/2018,Santa Clara,Boavista,4,2,"19,50,60,97","45,65",98,,,2.39,2.32,3.14,3.63
P1,01/09/2018,Sp Lisbon,Feirense,1,0,88,,95,,,1.73,1.29,5.7,13.62
P1,02/09/2018,Aves,Maritimo,0,1,,46,96,,,2.34,2.52,3.2,3.17
