Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,06/08/17,Aves,Sp Lisbon,0,2,,"23,75",92,,,1.95,7.54,4.6,1.48
P1,06/08/17,Setubal,Moreirense,1,1,13,83,94,71,,2.55,2.23,3.2,3.81
P1,07/08/17,Feirense,Tondela,1,1,51,28,93,,,2.35,2.35,3.02,3.72
P1,07/08/17,Portimonense,Boavista,2,1,"54,85",22,93,,,2.57,2.61,2.98,3.26
P1,07/08/17,Rio Ave,Belenenses,1,0,37,,95,,,2.31,1.81,3.49,5.25
P1,08/08/17,Maritimo,Pacos Ferreira,1,0,57,,97,,,2.3,2.08,3.32,4.11
P1,09/08/17,Benfica,Sp Braga,3,1,"15,30,57",44,93,,,1.73,1.39,5.09,9.33
P1,09/08/17,Porto,Estoril,4,0,"35,54,62,70",,93,,,1.58,1.17,8.25,21
P1,10/08/17,Guimaraes,Chaves,3,2,"23,32,57","80,88",94,,,2.08,2.13,3.44,3.77
P1,11/08/17,Sp Lisbon,Setubal,1,0,86,,93,,,1.61,1.24,6.52,15.05
P1,12/08/17,Belenenses,Maritimo,1,0,47,,93,,,2.41,2.21,3.12,3.96
P1,12/08/17,Boavista,Rio Ave,1,2,76,"29,85",95,,,2.57,2.89,3.15,2.76
P1,12/08/17,Moreirense,Feirense,0,0,,,93,,,2.44,2.11,3.29,4.06
P1,13/08/17,Pacos Ferreira,Aves,2,2,"54,87","8,11",95,,,2.33,2.37,3.23,3.4
P1,13/08/17,Sp Braga,Portimonense,2,1,"45,68",25,94,,,1.88,1.52,4.19,7.9
P1,13/08/17,Tondela,Porto,0,1,,37,93,,,1.72,14.03,5.64,1.29
P1,14/08/17,Chaves,Benfica,0,1,,91,97,,,1.75,7.86,4.86,1.45
P1,14/08/17,Estoril,Guimaraes,3,0,"19,63,80",,92,38,"49,59",2.21,3.16,3.21,2.52
P1,18/08/17,Rio Ave,Portimonense,2,0,"50,67",,93,,,2.12,1.82,3.58,5.13
P1,19/08/17,Benfica,Belenenses,5,0,"2,28,33,90,92",,94,,,1.47,1.21,7.3,16.2
P1,19/08/17,Guimaraes,Sp Lisbon,0,5,,"3,21,23,60,85",92,,,1.94,6.01,4.28,1.6
P1,19/08/17,Tondela,Estoril,2,3,"50,62","13,26,48",95,,,2.28,2.31,3.3,3.44
P1,20/08/17,Aves,Sp Braga,0,2,,"57,93",95,42,,2.23,2.93,3.29,2.64
P1,20/08/17,Maritimo,Boavista,1,0,58,,97,,,2.47,2.35,3.02,3.72
P1,20/08/17,Porto,Moreirense,3,0,"18,21,77",,93,,,1.51,1.14,9.74,23.1
P1,20/08/17,Setubal,Chaves,1,1,59,79,96,,92,2.41,2.32,3.39,3.34
P1,21/08/17,Feirense,Pacos Ferreira,2,1,"32,94",14,95,,,2.36,3.26,3.17,2.49
P1,25/08/17,Belenenses,Setubal,1,1,20,81,94,91,,2.56,2.33,3.07,3.7
P1,26/08/17,Chaves,Feirense,0,2,,"26,86",96,,,2.38,2.24,3.23,3.71
P1,26/08/17,Moreirense,Tondela,0,3,,"22,53,86",93,69,,2.32,2.11,3.26,4.1
P1,26/08/17,Pacos Ferreira,Guimaraes,0,0,,,95,45,,2.05,2.64,3.28,2.93
P1,26/08/17,Rio Ave,Benfica,1,1,61,67,94,,,1.98,6.19,4.33,1.58
P1,27/08/17,Boavista,Aves,1,0,58,,99,,69,2.66,2.64,3.1,3.09
P1,27/08/17,Sp Braga,Porto,0,1,,7,94,,,1.95,7.82,4.54,1.48
P1,27/08/17,Sp Lisbon,Estoril,2,1,"4,11",85,95,,,1.48,1.15,9,21
P1,28/08/17,Portimonense,Maritimo,1,2,86,"69,91",95,,,2.37,1.98,3.31,4.58
P1,08/09/17,Benfica,Portimonense,2,1,"60,78",56,95,,59,1.42,1.14,9.98,22.39
P1,08/09/17,Feirense,Sp Lisbon,2,3,"69,8","62,64",98,,,1.78,10.2,4.9,1.38
P1,09/09/17,Maritimo,Rio Ave,1,0,91,,93,,24,2.34,2.73,3.05,3.03
P1,09/09/17,Porto,Chaves,3,0,"49,86,88",,93,,,1.53,1.14,9.35,24.12
P1,09/09/17,Tondela,Pacos Ferreira,2,2,"37,51","75,91",96,,,2.35,2.29,3.31,3.49
P1,10/09/17,Estoril,Moreirense,0,2,,"34,75",94,,,2.31,1.97,3.46,4.38
P1,10/09/17,Guimaraes,Boavista,1,0,65,,93,,,2.26,1.92,3.38,4.81
P1,10/09/17,Setubal,Sp Braga,2,0,"24,26",,96,,,2.33,3.24,3.27,2.44
P1,11/09/17,Aves,Belenenses,2,1,"42,53",25,96,,,2.4,2.37,3.21,3.43
P1,15/09/17,Pacos Ferreira,Setubal,1,0,56,,98,,,2.91,2.55,3.01,3.32
P1,16/09/17,Boavista,Benfica,2,1,"55,74",7,96,,,1.88,8.95,4.42,1.45
P1,16/09/17,Maritimo,Aves,2,1,"16,39",81,96,,,2.3,2.06,3.21,4.39
P1,16/09/17,Sp Lisbon,Tondela,2,0,"12,72",,94,,,1.41,1.2,7.5,16.5
P1,17/09/17,Belenenses,Estoril,2,1,"73,83",93,95,,78,2.27,2.47,3.32,3.14
P1,17/09/17,Rio Ave,Porto,1,2,80,"54,67",95,89,,1.9,9.48,4.35,1.45
P1,17/09/17,Sp Braga,Guimaraes,2,1,"23,46",37,95,,,1.95,1.83,3.79,4.67
P1,18/09/17,Chaves,Moreirense,3,0,"45,62,65",,92,,,2.27,2.25,3.19,3.73
P1,18/09/17,Portimonense,Feirense,2,1,"12,19",28,95,,,2.19,1.95,3.5,4.39
P1,22/09/17,Porto,Portimonense,5,2,"20,23,26,49,68","36,73",92,,,1.42,1.11,11.25,27
P1,23/09/17,Benfica,Pacos Ferreira,2,0,"20,61",,93,,,1.46,1.15,9.2,22
P1,23/09/17,Estoril,Chaves,0,2,,"40,68",94,,,2.1,2.37,3.39,3.25
P1,23/09/17,Moreirense,Sp Lisbon,1,1,43,61,98,,,1.84,13.87,5.29,1.31
P1,24/09/17,Aves,Rio Ave,0,0,,,93,,,2.35,2.76,3.14,2.91
P1,24/09/17,Feirense,Belenenses,1,4,72,"18,30,35,74",94,,,2.29,2.55,3.24,3.09
P1,24/09/17,Guimaraes,Maritimo,2,1,"5,75",15,95,63,63,2.25,1.98,3.36,4.47
P1,24/09/17,Tondela,Sp Braga,1,2,18,"44,46",94,4,,2.17,3.72,3.45,2.15
P1,25/09/17,Setubal,Boavista,1,1,50,86,93,,,2.91,2.18,2.98,4.31
P1,29/09/17,Chaves,Tondela,1,1,14,30,96,,"19,56",2.11,2.06,3.44,4.02
P1,30/09/17,Boavista,Feirense,1,0,38,,93,,,2.57,2.16,3.14,4.1
P1,30/09/17,Pacos Ferreira,Moreirense,3,2,"29,31,74","40,64",94,,,2.45,2.41,3.17,3.4
P1,30/09/17,Portimonense,Aves,2,2,"45,88","38,69",94,,,2.3,2.02,3.47,4.12
P1,30/09/17,Rio Ave,Setubal,2,1,"75,9",83,95,,,2.48,1.9,3.34,5
P1,01/10/17,Belenenses,Guimaraes,1,0,26,,98,,,2.09,2.17,3.47,3.62
P1,01/10/17,Maritimo,Benfica,1,1,66,2,95,,,1.96,8.9,4.65,1.43
P1,01/10/17,Sp Braga,Estoril,6,0,"17,41,55,57,62,84",,92,,,1.93,1.55,4.17,7.11
P1,01/10/17,Sp Lisbon,Porto,0,0,,,93,,,2.16,2.73,3.36,2.77
P1,20/10/17,Estoril,Boavista,0,3,,"20,33,90",94,,,2.5,2.38,3.11,3.53
P1,21/10/17,Feirense,Rio Ave,1,0,13,,97,36,"54,75",2.34,3.52,3.35,2.26
P1,21/10/17,Porto,Pacos Ferreira,6,1,"4,18,25,33,65,72",8,92,,,1.47,1.11,11,30
P1,21/10/17,Setubal,Maritimo,3,1,"78,91,96",45,97,,65,2.6,2.1,3.09,4.41
P1,22/10/17,Aves,Benfica,1,3,76,"29,50,79",93,,,1.77,8.38,4.67,1.44
P1,22/10/17,Sp Lisbon,Chaves,5,1,"6,15,39,58,75",91,92,,,1.54,1.22,7.02,16.66
P1,22/10/17,Tondela,Belenenses,2,0,"71,86",,96,,45,2.21,2.21,3.28,3.73
P1,23/10/17,Guimaraes,Portimonense,3,3,"41,82,88","15,19,30",95,,,1.92,1.91,3.73,4.3
P1,23/10/17,Moreirense,Sp Braga,0,1,,89,96,,,2.2,4.19,3.43,2.02
P1,27/10/17,Benfica,Feirense,1,0,11,,93,,,1.41,1.14,9.7,21
P1,27/10/17,Rio Ave,Sp Lisbon,0,1,,85,93,,,2.05,7.99,3.94,1.55
P1,28/10/17,Belenenses,Moreirense,3,0,"21,51,88",,94,,,2.34,2.06,3.26,4.29
P1,28/10/17,Boavista,Porto,0,3,,"50,80,86",93,,,2.04,13.05,5.28,1.32
P1,28/10/17,Maritimo,Tondela,2,0,"20,57",,94,,,2.35,2.16,3.32,3.85
P1,29/10/17,Aves,Guimaraes,1,3,17,"4,45,70",93,,,2.13,2.79,3.47,2.65
P1,29/10/17,Pacos Ferreira,Estoril,1,0,5,,97,,,2.17,2.39,3.28,3.32
P1,29/10/17,Sp Braga,Chaves,1,0,58,,93,,,1.84,1.5,4.48,7.52
P1,30/10/17,Portimonense,Setubal,5,2,"9,22,26,61,73","3,76",93,,66,2.22,2.19,3.34,3.71
P1,03/11/17,Setubal,Aves,0,1,,78,94,73,,2.31,2.23,3.31,3.65
P1,04/11/17,Estoril,Rio Ave,0,2,,"42,86",95,,,2.2,2.91,3.28,2.66
P1,04/11/17,Moreirense,Portimonense,1,1,13,3,93,,,1.96,2.47,3.3,3.16
P1,04/11/17,Porto,Belenenses,2,0,"42,9",,93,,,1.47,1.18,8.09,17.61
P1,04/11/17,Tondela,Boavista,3,2,"77,78,85","64,69",93,,,2.52,2.44,3.13,3.38
P1,05/11/17,Chaves,Pacos Ferreira,4,2,"34,49,68,83","6,7",94,,,2.25,1.83,3.76,4.7
P1,05/11/17,Feirense,Maritimo,0,1,,45,96,,,2.35,2.5,3.32,3.09
P1,05/11/17,Guimaraes,Benfica,1,3,86,"22,76,79",94,,,1.76,5.61,4.15,1.65
P1,05/11/17,Sp Lisbon,Sp Braga,2,2,"66,94","85,89",95,,,1.82,1.48,4.56,7.63
P1,24/11/17,Belenenses,Chaves,0,1,,45,95,87,,2.2,2.36,3.27,3.39
P1,25/11/17,Aves,Porto,1,1,63,6,95,,52,1.71,15.02,6.77,1.23
P1,25/11/17,Boavista,Moreirense,1,0,29,,96,,,2.63,2.32,3.1,3.69
P1,25/11/17,Portimonense,Tondela,2,0,"31,77",,93,,,1.93,1.86,3.73,4.56
P1,26/11/17,Benfica,Setubal,6,0,"7,39,48,66,68,87",,92,,45,1.59,1.2,7.39,18.6
P1,26/11/17,Maritimo,Estoril,0,0,,,95,,,2.15,1.81,3.68,4.96
